type,year,period,service,incidents
A,65,75,1095,4
D,70,75,1208,11
C,60,75,552,1
B,65,75,20370,53
D,70,75,1208,11
A,70,60,1512,6
C,60,75,552,1
B,65,75,20370,53
B,65,75,20370,53
A,65,60,1095,3
E,60,75,0,0
C,75,75,274,1
A,60,75,63,0
C,75,60,0,0
B,65,75,20370,53
D,70,60,349,2
B,70,75,13099,44
E,75,60,0,0
B,65,75,20370,53
E,75,60,0,0
C,60,75,552,1
B,75,60,0,0
B,65,75,20370,53
E,65,75,437,7
B,60,60,44882,39
E,60,75,0,0
D,60,75,105,0
D,60,75,105,0
A,75,60,0,0
E,70,75,2161,12
B,65,60,28609,58
A,60,60,127,0
B,75,75,7117,18
E,60,75,0,0
C,65,60,781,0
A,65,75,1095,4
A,60,60,127,0
E,60,60,45,0
B,60,75,17176,29
B,70,75,13099,44
